field_name,source_surface,resource,grain,decomposition_basis,field_type,player_link,fixture_link,club_link,canonical_attachment,relationship_kind,identity_contract,source_identity_required,relationship_note
shotsOnTargetInBox,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
shotsOnTargetIncGoals,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
shotsOnTargetOutsideBox,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
starts,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
straightRedCards,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
substituteOff,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
substituteOn,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
successfulCornersIntoBox,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
successfulCrossesAndCorners,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
successfulCrossesOpenPlay,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
successfulDribbles,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
successfulFiftyFifty,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
successfulLaunches,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
successfulLayoffs,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
successfulLongPasses,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
successfulPassesOppositionHalf,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
successfulPassesOwnHalf,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
successfulShortPasses,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
tacklesLost,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
tacklesWon,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
team_id,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
team_name,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
throughBalls,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
throwInsToOppositionPlayer,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
throwInsToOwnPlayer,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
timePlayed,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
timesTackled,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
totalClearances,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
totalFoulsConceded,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
totalFoulsWon,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
totalLossesOfPossession,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
totalPasses,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
totalRedCards,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
totalShots,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
totalTackles,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
totalTouchesInOppositionBox,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
totalUnsuccessfulPassesExclCrossesAndCorners,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
touches,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
unsuccessfulCornersIntoBox,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
unsuccessfulCrossesAndCorners,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
unsuccessfulCrossesOpenPlay,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
unsuccessfulDribbles,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
unsuccessfulLaunches,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
unsuccessfulLayoffs,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
unsuccessfulLongPasses,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
unsuccessfulPassesOwnHalf,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
unsuccessfulShortPasses,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
winningGoal,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
yellowCards,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
age,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
birthCountry,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
birthDate,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
displayName,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
firstName,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
height_cm,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
isoCode,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
joinDate,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
lastName,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
nationality,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
onLoan,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
playerId,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
position,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
preferredFoot,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
shirtNumber,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
weight_kg,FRL_LOCAL_CSV,squad,squad,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
accurateBackZonePass,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateChippedPass,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateCornersIntobox,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateCross,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateCrossNocorner,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateFlickOn,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateFreekickCross,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateFwdZonePass,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateGoalKicks,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateKeeperSweeper,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateKeeperThrows,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateLaunches,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateLayoffs,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateLongBalls,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accuratePass,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accuratePullBack,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateThroughBall,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateThrows,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
aerialLost,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
aerialWon,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
attAssistOpenplay,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
attAssistSetplay,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
attCorner,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
attFastbreak,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
attFreekickGoal,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
attFreekickMiss,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
attFreekickPost,FRL_LOCAL_CSV,team_match,team_match,pre-existing specific grain,unknown,NOT_IN_DIRECT_GRAIN,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
